method	network	commit	batch_size	opt_gap_mean	eq_violation_l1_mean	ineq_violation_l1_mean	merit_mean	avg_inference_time	status	description	save_dir	eval_summary	run_log
penalty	MLP	5931f6b	256	86.51942197	0.35345582	0.00180293	355291.11723903	0.0002026	keep	baseline penalty MLP	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-213133_penalty_seed2025_e1000_lr1e-04_n7000	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-213133_penalty_seed2025_e1000_lr1e-04_n7000/test_summary.yaml	logs/autoresearch/20260414-localctxv2-penalty-mlp.log
penalty	LocalContextMLPv2	5931f6b	256	34.81869228	0.12128189	0.00632417	127629.4565817	0.00059101	keep	baseline penalty LocalContextMLPv2	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-213548_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.2	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-213548_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.2/test_summary.yaml	logs/autoresearch/20260414-localctxv2-penalty-localctxv2.log
penalty	LocalContextMLPv2	859d880	256	34.12747694	0.10329394	0.00326157	106578.79204963	0.00058252	keep	reduce local delta scale to 0.1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-214138_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-214138_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.1/test_summary.yaml	logs/autoresearch/20260414-localctxv2-delta0.1.log
penalty	LocalContextMLPv2	c18fcdc	256	35.87768531	0.11030554	0.00274188	113070.99753146	0.00059125	discard	increase coarse loss weight to 1.0	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-214707_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-214707_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.1/test_summary.yaml	logs/autoresearch/20260414-localctxv2-coarse1.0.log
penalty	LocalContextMLPv2	85ca679	256	62.48087458	0.18454676	0.00788455	192459.505671	0.00057003	discard	set penalty.lr=0.00005	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-220413_penalty_seed2025_e1000_lr5e-05_n7000_localctxv2d0.1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-220413_penalty_seed2025_e1000_lr5e-05_n7000_localctxv2d0.1/test_summary.yaml	logs/autoresearch/iter001-20260414-220408.log
penalty	LocalContextMLPv2	2dca78b	256	25.47531792	0.11396869	0.00151546	115505.93034345	0.00057897	discard	set LocalContextMLPv2.local_delta_scale=0.11	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-220910_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.11	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-220910_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.11/test_summary.yaml	logs/autoresearch/iter002-20260414-220906.log
penalty	LocalContextMLPv2	9b9806a	256	32.8138455	0.08319417	0.00309478	86311.99940511	0.00057676	keep	set penalty.lr=0.00013	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-221406_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.1	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-221406_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.1/test_summary.yaml	logs/autoresearch/iter003-20260414-221402.log
penalty	LocalContextMLPv2	15850e1	256	32.5957424	0.07965789	0.0027083	82389.20134403	0.00058058	keep	set LocalContextMLPv2.local_delta_scale=0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-221902_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-221902_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter004-20260414-221858.log
penalty	LocalContextMLPv2	7c48268	256	32.91933303	0.09853876	0.0060044	104566.21907596	0.00059029	discard	set hidden_dim=1536	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-222359_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-222359_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter005-20260414-222355.log
penalty	LocalContextMLPv2	d30e6dc	256	33.69354303	0.09501133	0.00209447	97129.00766192	0.00058064	discard	set penalty.lr=0.0001	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-225424_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08	results/nonsmooth_nonconvex/socp/SOCPProblem-100-50-50-10000/20260414-225424_penalty_seed2025_e1000_lr1e-04_n7000_localctxv2d0.08/test_summary.yaml	logs/autoresearch/iter001-20260414-225419.log
